1,A00,0,A000,"Colera debido a Vibrio Cholerae O1, Biotipo Cholerae"
2,A00,1,A001,"Colera debido a Vibrio Cholerae O1, Biotipo el Tor"
3,A00,9,A009,Colera
4,A00,90,A0090,Sospechoso de Colera
5,A00,91,A0091,Sospechoso de Colera no Especificado sin deshidratacion
6,A00,92,A0092,Sospechosos de Colera no Especificado con deshidratacion
7,A00,93,A0093,Sospechosos de Colera no Especificado con deshidratacion con Shock
8,A01,0,A010,Fiebre Tifoidea
9,A01,9,A0109,Fiebre Tifoidea con diarrea
10,A01,1,A011,Fiebre Paratifoidea A
11,A01,2,A012,Fiebre Paratifoidea B
12,A01,3,A013,Fiebre Paratifoidea C
13,A01,4,A014,"Fiebre Paratifoidea, no Especificada"
14,A01,41,A0141,Fiebre Paratifoidea no Especificada con diarrea
15,A02,0,A020,Enteritis debida a Salmonella
16,A02,1,A021,Septicemia debida a Salmonella
17,A02,2,A022,Infecciones Localizadas debidas a Salmonella
18,A02,8,A028,Otras Infecciones Especificadas como debidas a Salmonella
19,A02,9,A029,"Infeccion debida a Salmonela, no Especificada"
20,A03,0,A030,Shigelosis debida a Shigella Dysenteriae
21,A03,1,A031,Shigelosis debida a Shigella Flexneri
22,A03,2,A032,Shigelosis debida a Shigella Boydii
23,A03,3,A033,Shigelosis debida a Shigella Sonnei
24,A03,8,A038,Otras Shigelosis
25,A03,9,A039,Shiguellosis sin Especificacion
26,A04,0,A040,Infeccion debida a Escherichia Coli Enteropatogena
27,A04,1,A041,Infeccion debida a Escherichia Coli Enterotoxigena
28,A04,2,A042,Infeccion debida a Escherichia Coli Enteroinvasiva
29,A04,3,A043,Infeccion debida a Escherichia Coli Enterohemorragica
30,A04,4,A044,Otras Infecciones Intestinales debidas a Escherichia Coli
31,A04,5,A045,Enteritis debida a Campylobacter
32,A04,6,A046,Enteritis debida a Yersinia Enterocolitica
33,A04,7,A047,Enterocolitis debida a Clostridium difficile
34,A04,8,A048,Otras Infecciones Intestinales Bacterianas Especificadas
35,A04,9,A049,"Infeccion Intestinal Bacteriana, no Especificada"
36,A05,0,A050,Intoxicacion Alimentaria Estafilococica
37,A05,1,A051,Botulismo
38,A05,2,A052,Intoxicacion Alimentaria debida a Clostridium Perfringens Clostridium Welchii]
39,A05,3,A053,Intoxicacion Alimentaria debida a Vibrio Parahaemolyticus
40,A05,4,A054,Intoxicacion Alimentaria debida a Bacillus Cereus
41,A05,8,A058,Otras Intoxicaciones Alimentarias debidas a Bacterias Especificadas
42,A05,9,A059,"Intoxicacion Alimentaria Bacteriana, no Especificada"
43,A06,0,A060,Disenteria Amebiana Aguda
44,A06,1,A061,Amebiasis Intestinal Cronica
45,A06,2,A062,Colitis Amebiana no disenterica
46,A06,3,A063,Ameboma Intestinal
47,A06,4,A064,Absceso Amebiano del Higado
48,A06,5,A065,Absceso Amebiano del Pulmon (J99.8*)
49,A06,6,A066,Absceso Amebiano del Cerebro (G07*)
50,A06,7,A067,Amebiasis Cutanea
51,A06,8,A068,Infeccion Amebiana de otras Localizaciones
52,A06,9,A069,"Amebiasis, no Especificada"
53,A07,0,A070,Balantidiasis
54,A07,1,A071,Giardiasis [Lambliasis]
55,A07,2,A072,Criptosporidiosis
56,A07,3,A073,Isosporiasis
57,A07,8,A078,Otras Enfermedades Intestinales Especificadas debidas a Protozoarios
58,A07,9,A079,"Enfermedad Intestinal debida a Protozoarios, no Especificada"
59,A07,93,A0793,Colitis
60,A08,0,A080,Enteritis debida a Rotavirus
61,A08,1,A081,Gastroenteropatia Aguda debida al Agente de Norwalk
62,A08,2,A082,Enteritis debida a Adenovirus
63,A08,3,A083,Otras Enteritis Virales
64,A08,4,A084,"Infeccion Intestinal Viral, sin otra Especificacion"
65,A08,5,A085,Otras Infecciones Intestinales Especificadas
66,A09,X,A09X,Infecciones Intestinales debidas a otros Organismos sin Especificar
67,A09,X0,A09X0,"Diarrea Acuosa Incluye Colitis, Enteritis, Genterocolitis, Gastroenteritis, Gastroentero"
68,A09,X1,A09X1,Enfermedad Diarreica Acuosa sin deshidratacion
69,A09,X2,A09X2,Enfermedad Diarreica Acuosa con deshidratacion
70,A09,X3,A09X3,Enfermedad Diarreica Acuosa con deshidratacion con Shock
71,A09,X4,A09X4,Enfermedad Diarreica disenterica sin deshidratacion
72,A09,X5,A09X5,Enfermedad Diarreica disenterica con deshidratacion
73,A09,X6,A09X6,Enfermedad Diarreica Persistente
74,A09,X7,A09X7,Diarrea Disenterica
75,A09,X8,A09X8,Enfermedad Diarreica disenterica con Deshidratacion con Shock
76,A09,0,A090,Otras gastroenteritis y colitis no especificadas de origen infeccioso
77,A09,9,A099,Gastroenteritis y colitis de origen no especificada
78,A15,0,A150,TBC Pulmonar  Bk (+)
79,A15,1,A151,TBC Pulmonar Solo Cultivo Positivo
80,A15,2,A152,"Tuberculosis del Pulmon, Confirmada Histologicamente"
81,A15,3,A153,"TBC Pulmonar, Confirmada por Medios no Especificados"
82,A15,4,A154,"Tuberculosis de Ganglios Linfaticos Intratoracicos, Confirmada Bacteriologica e Histolog"
83,A15,5,A155,"Tuberculosis de Laringe, Traquea y Bronquios, Confirmada Bacteriologica e Histologicamen"
84,A15,6,A156,"Pleuresia Tuberculosa, Confirmada Bacteriologica e Histologicamente"
85,A15,7,A157,"Tuberculosis Respiratoria Primaria, Confirmada Bacteriologica e Histologicamente"
86,A15,8,A158,"Otras Tuberculosis Respiratorias, Confirmadas Bacteriologica e Histologicamente"
87,A15,9,A159,"Tuberculosis Respiratoria no Especificada, Confirmada Bacteriologica e Histologicamente"
88,A16,0,A160,TBC Pulmonar Bk (-) Cultivo (-)
89,A16,1,A161,"Tuberculosis del Pulmon, sin Examen Bacteriologico e Histologico"
90,A16,2,A162,"Tuberculosis del Pulmon, sin Mencion de Confirmacion Bacteriologica o Histologica"
91,A16,3,A163,"Tuberculosis de Ganglios Linfaticos Intratoracicos, sin Mencion de Confirmacion Bacterio"
92,A16,4,A164,"Tuberculosis de Laringe, Traquea y Bronquios, sin Mencion de Confirmacion Bacteriologica"
93,A16,5,A165,"Pleuresia Tuberculosa, sin Mencion de Confirmacion Bacteriologica o Histologica"
94,A16,7,A167,"Tuberculosis Respiratoria Primaria, sin Mencion de Confirmacion Bacteriologica o Histolo"
95,A16,8,A168,"Otras Tuberculosis Respiratorias, sin Mencion de Confirmacion"
96,A16,9,A169,TBC Respiratoria no Especificada / TBC Pulmonar sin Baciloscopia
97,A17,0,A170,Meningitis Tuberculosa (G01*)
98,A17,1,A171,Tuberculoma Meningeo (G07*)
99,A17,8,A178,Otras Tuberculosis del Sistema Nervioso
100,A17,82,A1782,Meningitis Tuberculosa
101,A17,9,A179,"Tuberculosis del Sistema Nervioso, no Especificada (G99.8*)"
102,A18,0,A180,Tuberculosis de Huesos y Articulaciones
103,A18,1,A1801,"TBC de Huesos y Articulaciones, sin Confirmacion Bacteriologica e Histopatologica"
104,A18,2,A1802,"TBC de Huesos y Articulaciones, Confirmado con Histopatologia"
105,A18,3,A1803,"TBC de Huesos y Articulaciones, Confirmado Co Bacteriologia"
106,A18,1,A181,Tuberculosis del Aparato Genitourinario
107,A18,11,A1811,"TBC del Aparato Genitourinario, sin Confirmacion Bacteriologica e Histopatologica"
108,A18,12,A1812,"TBC del Aparato Genitourinairo, Confirmado con Histopatologia"
109,A18,13,A1813,"TBC del Aparato Genitourinario, Confirmado con Bacteriologia"
110,A18,2,A182,Linfadenopatia Periferica Tuberculosa
111,A18,21,A1821,"Linfadenopatia Periferica Tuberculosa,Sin Confirmacion Bacteriologica e Histopatologica"
112,A18,22,A1822,"Linfadenopatia Periferica Tuberculosa, Confirmado con Histopatologia"
113,A18,23,A1823,"Linfadenopatia Periferica Tuberculosa, Confirmado con Bacteriologia"
114,A18,3,A183,"Tuberculosis de los Intestinos, el Peritoneo y los Ganglios Mesentericos"
115,A18,31,A1831,"Tuberculosis de los Intestinos,El Peritoneo y Ganglios Mesentericos,Sin Cofirm.Bacterio."
116,A18,32,A1832,"Tuberculosis de los Intestinos,El Peritoneo y Ganglios Mesentericos Confirmado con Histo"
117,A18,33,A1833,"Tuberculosis de los Intestinos,El Peritoneo y Ganglios Mesentericos,Confirmado con Bacte"
118,A18,4,A184,Tuberculosis de la Piel y el Tejido Subcutaneo
119,A18,41,A1841,"Tuberculosis de la Piel y el Tejido Subcutaneo,Sin Confirmacion Bacteriologica e Histopa"
120,A18,42,A1842,"Tuberculosis de la Piel y el Tejido Subcutaneo, Confirmado con Histopatologia"
121,A18,43,A1843,"Tuberculosis de la Piel y el Tejido Subcutaneo, Confirmado con Bacteriologia"
122,A18,5,A185,Tuberculosis del Ojo
123,A18,51,A1851,"Tuberculosis del Ojo, sin Confirmacion Bacteriologica e Histopatologica"
124,A18,52,A1852,"Tuberculosis del Ojo, Confirmado con Histopatologia"
125,A18,53,A1853,"Tuberculosis del Ojo, Confirmaco con Bacteriolog°a"
126,A18,6,A186,Tuberculosis del Oido
127,A18,61,A1861,"Tuberculosis del Oido, sin Confirmacion Bacteriologica e Histopatologica"
128,A18,62,A1862,"Tuberculosis del Oido, Confirmado con Histopatologia"
129,A18,63,A1863,"Tuberculosis del Oido, Confirmado con Bacteriologia"
130,A18,7,A187,Tuberculosis de Glandulas Suprarrenales (E35.1*)
131,A18,71,A1871,"Tuberculosis de Glandulas Suprarrenales,Sin Confirmacion Bacteriologica e Histopatologic"
132,A18,72,A1872,"Tuberculosis de Glandulas Suprarrenales, Confirmado con Bacteriologia"
133,A18,73,A1873,"Tuberculosis de Glandulas Suprarrenales, Confirmado con Bacteriologia"
134,A18,8,A188,Tuberculosis de otros Organos Especificados
135,A18,81,A1881,"Tuberculosis de otros Organos Especificados, sin Confirmacion Bacteriologica e Histopato"
136,A18,82,A1882,"Tuberculosis de otros Organos Especificados,  Confirmado con Histopatologia"
137,A18,83,A1883,"Tuberculosis de otros Organos Especificados, Confirmado con Bacteriologia"
138,A18,91,A1891,TB Extrapulmonar sin Confirmacion
139,A18,92,A1892,TB Extrapulmonar con Confirmacion Histopatologica
140,A18,93,A1893,TB Extrapulmonar con Confirmacion Bacteriologica
141,A19,0,A190,Tuberculosis Miliar Aguda de un Solo Sitio Especificado
142,A19,1,A191,Tuberculosis Miliar Aguda de Sitios Multiples
143,A19,2,A192,"Tuberculosis Miliar Aguda, no Especificada"
144,A19,8,A198,Otras Tuberculosis Miliares
145,A19,9,A199,"Tuberculosis Miliar, sin otra Especificacion"
146,A20,0,A200,Peste Bubonica
147,A20,1,A201,Peste Celulocutanea
148,A20,2,A202,Peste Mumonica
149,A20,3,A203,Meningitis por Peste
150,A20,7,A207,Peste Septicemica
151,A20,8,A208,Otras Formas de Peste
152,A20,9,A209,Peste no Especificada
153,A21,0,A210,Tularemia Ulceroglandular
154,A21,1,A211,Tularemia Oculoglandular
155,A21,2,A212,Tularemia Pulmonar
156,A21,3,A213,Tularemia Gastrointestinal
157,A21,7,A217,Tularemia Generalizada
158,A21,8,A218,Otras Formas de Tularemia
159,A21,9,A219,"Tularemia, no Especificada"
160,A22,0,A220,Carbunco Cutaneo
161,A22,1,A221,Carbunco Pulmonar
162,A22,2,A222,Carbunco Gastrointestinal
163,A22,7,A227,Carbunco Septicemico
164,A22,8,A228,Otras Formas de Carbunco
165,A22,9,A229,"Carbunco, no Especificado"
166,A23,0,A230,Brucelosis debida a Brucella Melitensis
167,A23,1,A231,Brucelosis debida a Brucella Abortus
168,A23,2,A232,Brucelosis debida a Brucella Suis
169,A23,3,A233,Brucelosis debida a Brucella Canis
170,A23,8,A238,Otras Brucelosis
171,A23,9,A239,Brucelosis no Especificada
172,A24,0,A240,Muermo
173,A24,1,A241,Melioidosis Aguda y Fulminante
174,A24,2,A242,Melioidosis Subaguda y Cronica
175,A24,3,A243,Otras Melioidosis
176,A24,4,A244,"Melioidosis, no Especificada"
177,A25,0,A250,Espirilosis
178,A25,1,A251,Estreptobacilosis
179,A25,9,A259,"Fiebre por Mordedura de Rata, no Especificada"
180,A26,0,A260,Erisipeloide Cutaneo
181,A26,7,A267,Septicemia por Erysipelothrix
182,A26,8,A268,Otras Formas de Erisipeloide
183,A26,9,A269,"Erisipeloide, no Especificada"
184,A27,0,A270,Leptospirosis Icterohemorragica
185,A27,8,A278,Otras Formas de Leptospirosis
186,A27,9,A279,Leptospirosis no Especificada
187,A28,0,A280,Pasteurelosis
188,A28,1,A281,Enfermedad por Rasguno de Gato
189,A28,2,A282,Yersiniosis Extraintestinal
190,A28,8,A288,"Otras Enfermedades Zoonoticas Bacterianas Especificadas, no Clasificadas en otra parte"
191,A28,9,A289,"Enfermedad Zoonotica Bacteriana, sin otra Especificacion"
