1,1,0101,A00,COLERA
2,1,0101,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA
3,1,0101,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA
4,1,0101,A03,SHIGELOSIS
5,1,0101,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS
6,1,0101,A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS
7,1,0101,A06,AMEBIASIS
8,1,0101,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
9,1,0101,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICA
10,1,0101,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO
11,2,0102,A15,"TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENT"
12,2,0102,A16,"TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA O HISTOLOGICAM"
13,2,0102,A17,TUBERCULOSIS DEL SISTEMA NERVIOSO
14,2,0102,A18,TUBERCULOSIS DE OTROS ORGANOS
15,2,0102,A19,TUBERCULOSIS MILIAR
16,3,0103,A20,PESTE
17,3,0103,A21,TULAREMIA
18,3,0103,A22,CARBUNCO [ANTRAX]
19,3,0103,A23,BRUCELOSIS
20,3,0103,A24,MUERMO Y MELIOIDOSIS
21,3,0103,A25,FIEBRES POR MORDEDURA DE RATA
22,3,0103,A26,ERISIPELOIDE
23,3,0103,A27,LEPTOSPIROSIS
24,3,0103,A28,"OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS, NO CLASIFICADAS EN OTRA PAR"
25,4,0104,A30,LEPRA [ENFERMEDAD DE HANSEN]
26,4,0104,A31,INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
27,4,0104,A32,LISTERIOSIS
28,4,0104,A33,TETANOS NEONATAL
29,4,0104,A34,TETANOS OBSTETRICO
30,4,0104,A35,OTROS TETANOS
31,4,0104,A36,DIFTERIA
32,4,0104,A37,TOS FERINA [TOS CONVULSIVA]
33,4,0104,A38,ESCARLATINA
34,4,0104,A39,ENFERMEDAD MENINGOCOCICA
35,4,0104,A40,SEPTICEMIA ESTREPTOCOCICA
36,4,0104,A41,OTRAS SEPTICEMIAS
37,4,0104,A42,ACTINOMICOSIS
38,4,0104,A43,NOCARDIOSIS
39,4,0104,A44,BARTONELOSIS
40,4,0104,A46,ERISIPELA
41,4,0104,A48,"OTRAS ENFERMEDADES BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE"
42,4,0104,A49,INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
43,5,0105,A50,SIFILIS CONGENITA
44,5,0105,A51,SIFILIS PRECOZ
45,5,0105,A52,SIFILIS TARDIA
46,5,0105,A53,OTRAS SIFILIS Y LAS NO ESPECIFICADAS
47,5,0105,A54,INFECCION GONOCOCICA
48,5,0105,A55,LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
49,5,0105,A56,OTRAS ENFERMEDADES DE TRANSMISION SEXUAL DEBIDAS A CLAMIDIAS
50,5,0105,A57,CHANCRO BLANDO
51,5,0105,A58,GRANULOMA INGUINAL
52,5,0105,A59,TRICOMONIASIS
53,5,0105,A60,INFECCION ANOGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]
54,5,0105,A63,"OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL, NO CLASIFI"
55,5,0105,A64,ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA
56,6,0106,A65,SIFILIS NO VENEREA
57,6,0106,A66,FRAMBESIA
58,6,0106,A67,PINTA [CARATE]
59,6,0106,A68,FIEBRES RECURRENTES
60,6,0106,A69,OTRAS INFECCIONES CAUSADAS POR ESPIROQUETAS
61,7,0107,A70,INFECCION DEBIDA A CHLAMYDIA PSITTACI
62,7,0107,A71,TRACOMA
63,7,0107,A74,OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS
64,8,0108,A75,TIFUS
65,8,0108,A77,FIEBRE MACULOSA [RICKETTSIOSIS TRANSMITIDA POR GARRAPATAS]
66,8,0108,A78,FIEBRE Q
67,8,0108,A79,OTRAS RICKETTSIOSIS
68,9,0109,A80,POLIOMIELITIS AGUDA
69,9,0109,A81,INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS LENTO
70,9,0109,A82,RABIA
71,9,0109,A83,ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS
72,9,0109,A84,ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS
73,9,0109,A85,"OTRAS ENCEFALITIS VIRALES, NO CLASIFICADAS EN OTRA PARTE"
74,9,0109,A86,"ENCEFALITIS VIRAL, NO ESPECIFICADA"
75,9,0109,A87,MENINGITIS VIRAL
76,9,0109,A88,"OTRAS INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL, NO CLASIFICADA"
77,9,0109,A89,"INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADA"
78,10,0110,A90,FIEBRE DEL DENGUE [DENGUE CLASICO]
79,10,0110,A91,FIEBRE DEL DENGUE HEMORRAGICO
